seed,step,action,did_reuse,cumulative_reuse,mse,improvement,nodes,repo_size,improvement_count,deletion_count,reward,reference_mse,epsilon_threshold
6,10,1,False,0,0.2733890414237976,0.0,3,1,1,0,-0.08300405678649743,0.024376871064305305,0.02462063977494836
6,11,0,False,0,0.16833262145519257,0.10505641996860504,4,1,1,0,-0.03395753167569637,0.024376871064305305,0.02462063977494836
6,12,0,False,0,0.2409532070159912,0.0,4,1,1,0,-0.052112678065896034,0.024376871064305305,0.02462063977494836
6,13,0,False,0,0.09307767450809479,0.14787553250789642,4,1,1,0,-0.015143794938921928,0.024376871064305305,0.02462063977494836
6,14,0,False,0,0.17678068578243256,0.0,4,1,1,0,-0.03606954775750637,0.024376871064305305,0.02462063977494836
7,0,0,False,0,0.806232750415802,inf,4,1,1,0,-0.1946269782880942,0.020793627947568893,0.02100156422704458
7,1,0,False,0,0.5112619996070862,0.2949707508087158,4,1,1,0,-0.12088429058591525,0.020793627947568893,0.02100156422704458
7,2,0,False,0,0.6336264610290527,0.0,4,1,1,0,-0.15147540594140688,0.020793627947568893,0.02100156422704458
7,3,0,False,0,0.29179805517196655,0.3418284058570862,4,1,1,0,-0.06601830447713534,0.020793627947568893,0.02100156422704458
7,4,0,False,0,0.6667209267616272,0.0,4,1,1,0,-0.1597490223745505,0.020793627947568893,0.02100156422704458
7,5,0,False,0,0.5988441109657288,0.06787681579589844,4,1,1,0,-0.14277981842557588,0.020793627947568893,0.02100156422704458
7,6,0,False,0,0.9601012468338013,0.0,4,1,1,0,-0.233094102392594,0.020793627947568893,0.02100156422704458
7,7,0,False,0,0.3835698664188385,0.5765313804149628,4,1,1,0,-0.08896125728885333,0.020793627947568893,0.02100156422704458
7,8,0,False,0,0.5535870790481567,0.0,4,1,1,0,-0.13146556044618288,0.020793627947568893,0.02100156422704458
7,9,1,False,0,0.7118369936943054,0.0,3,1,1,0,-0.2303477885822455,0.020793627947568893,0.02100156422704458
7,10,0,False,0,0.5999115109443665,0.11192548274993896,4,1,1,0,-0.1430466684202353,0.020793627947568893,0.02100156422704458
7,11,0,False,0,0.40818119049072266,0.1917303204536438,4,1,1,0,-0.09511408830682437,0.020793627947568893,0.02100156422704458
7,12,0,False,0,0.16984614729881287,0.2383350431919098,4,1,1,0,-0.035530327508846916,0.020793627947568893,0.02100156422704458
7,13,0,False,0,0.5213545560836792,0.0,4,1,1,0,-0.1234074297050635,0.020793627947568893,0.02100156422704458
7,14,0,False,0,0.8889930844306946,0.0,4,1,1,0,-0.21531706179181734,0.020793627947568893,0.02100156422704458
8,0,0,False,0,0.01356637291610241,inf,4,1,1,0,0.007171662369122108,0.03168976679444313,0.03200666446238756
8,1,0,False,0,0.2957095503807068,0.0,4,1,1,0,-0.06336413199702899,0.03168976679444313,0.03200666446238756
8,2,1,False,0,1.0003644227981567,0.0,3,1,1,0,-0.32289155200123787,0.03168976679444313,0.03200666446238756
8,3,1,False,0,0.4314804971218109,0.5688839256763458,3,1,1,0,-0.13326357677578926,0.03168976679444313,0.03200666446238756
8,4,1,False,0,0.008416354656219482,0.42306414246559143,3,1,1,0,0.0077578040460745505,0.03168976679444313,0.03200666446238756
8,5,0,False,0,0.16954754292964935,0.0,4,1,1,0,-0.031823630134264626,0.03168976679444313,0.03200666446238756
8,6,0,False,0,0.0005576573894359171,0.16898988554021344,4,1,1,0,0.010423841250788731,0.03168976679444313,0.03200666446238756
8,7,0,False,0,0.08840222656726837,0.0,4,1,1,0,-0.011537301043669382,0.03168976679444313,0.03200666446238756
8,8,1,False,0,0.3999181389808655,0.0,3,1,1,0,-0.12274279072880746,0.03168976679444313,0.03200666446238756
8,9,1,False,0,0.04298456385731697,0.3569335751235485,3,1,1,0,-0.003764932354291279,0.03168976679444313,0.03200666446238756
8,10,1,False,0,0.09172751754522324,0.0,3,1,1,0,-0.02001258358359337,0.03168976679444313,0.03200666446238756
