seed,step,action,did_reuse,cumulative_reuse,mse,improvement,nodes,repo_size,improvement_count,deletion_count,reward
0,0,0,False,0,0.1061999574303627,inf,4,1,1,0,-0.018790739277998608
0,1,0,False,0,0.835568904876709,0.0,4,1,1,0,-0.20113297613958517
0,2,0,False,0,0.06315544247627258,0.7724134624004364,4,1,1,0,-0.008029610539476078
0,3,0,False,0,0.4248851239681244,0.0,4,1,1,0,-0.09846203091243903
0,4,0,False,0,0.08081118762493134,0.34407393634319305,4,1,1,0,-0.012443546826640766
0,5,0,False,0,0.037755660712718964,0.04305552691221237,4,1,1,0,-0.0016796650985876722
0,6,1,False,0,0.04964219406247139,0.0,3,1,1,0,-0.008788147941231728
0,7,0,False,0,0.3593030273914337,0.0,4,1,1,0,-0.08206650676826636
0,8,0,False,0,0.30163344740867615,0.05766957998275757,4,1,1,0,-0.06764911177257697
0,9,0,False,0,0.021808648481965065,0.2798247989267111,4,1,1,0,0.0023070879591008025
0,10,1,False,0,0.6004221439361572,0.0,3,1,1,0,-0.19238146456579366
0,11,1,False,0,0.02704867161810398,0.5733734723180532,3,1,1,0,-0.0012569737931092577
0,12,0,False,0,0.037804193794727325,0.0,4,1,1,0,-0.0016917983690897627
0,13,0,False,0,0.05470024421811104,0.0,4,1,1,0,-0.005915810974935691
0,14,1,False,0,0.04790937155485153,0.006790872663259506,3,1,1,0,-0.008210540438691776
1,0,0,False,0,0.48672229051589966,inf,4,1,1,0,-0.11450795208414395
1,1,0,False,0,0.10338254272937775,0.3833397477865219,4,1,1,0,-0.018673015137513477
1,2,1,False,0,0.5659577250480652,0.0,3,1,1,0,-0.18147995447119078
1,3,0,False,0,0.12145880609750748,0.4444989189505577,4,1,1,0,-0.02319208097954591
1,4,0,False,0,0.05473313853144646,0.06672566756606102,4,1,1,0,-0.006510664088030656
1,5,1,False,0,0.533929169178009,0.0,3,1,1,0,-0.17080376918117207
1,6,1,False,0,0.32356229424476624,0.2103668749332428,3,1,1,0,-0.10068147753675778
1,7,1,False,0,0.4059879779815674,0.0,3,1,1,0,-0.12815670544902485
1,8,0,False,0,0.14281482994556427,0.2631731480360031,4,1,1,0,-0.02853108694156011
1,9,0,False,0,0.10843503475189209,0.03437979519367218,4,1,1,0,-0.019936138143142063
1,10,1,False,0,0.272601842880249,0.0,3,1,1,0,-0.08369466041525205
1,11,0,False,0,0.347278892993927,0.0,4,1,1,0,-0.07964710270365079
1,12,0,False,0,0.0861581563949585,0.2611207365989685,4,1,1,0,-0.014366918553908665
1,13,0,False,0,1.4322319030761719,0.0,4,1,1,0,-0.350885355224212
1,14,0,False,0,0.18076618015766144,1.2514657229185104,4,1,1,0,-0.038018924494584404
2,0,1,False,0,0.03999009728431702,inf,3,1,1,0,-0.0005950927734375
2,1,0,False,0,0.2960771918296814,0.0,4,1,1,0,-0.061284358302752175
2,2,1,False,0,0.015626143664121628,0.28045104816555977,3,1,1,0,0.007526225099960963
2,3,0,False,0,0.07710910588502884,0.0,4,1,1,0,-0.006542336816589037
2,4,0,False,0,0.034184716641902924,0.042924389243125916,4,1,1,0,0.004188760494192442
2,5,1,False,0,0.04974532127380371,0.0,3,1,1,0,-0.0038468341032663975
2,6,1,False,0,0.039003752171993256,0.010741569101810455,3,1,1,0,-0.0002663110693295785
2,7,1,False,0,0.08804795145988464,0.0,3,1,1,0,-0.01661437749862671
2,8,0,False,0,0.30838409066200256,0.0,4,1,1,0,-0.06436108301083247
2,9,1,False,0,0.043682366609573364,0.2647017240524292,3,1,1,0,-0.0018258492151896153
2,10,0,False,0,0.8593813180923462,0.0,4,1,1,0,-0.20211038986841837
2,11,1,False,0,0.029602522030472755,0.8297787960618734,3,1,1,0,0.0028674323111772537
2,12,0,False,0,0.042544297873973846,0.0,4,1,1,0,0.002098865186174711
2,13,1,False,0,0.01834903657436371,0.024195261299610138,3,1,1,0,0.00661859412988027
2,14,1,False,0,0.03129313886165619,0.0,3,1,1,0,0.0023038933674494437
3,0,0,False,0,0.06036687642335892,inf,4,1,1,0,-0.003006068989634514
3,1,1,False,0,0.06765328347682953,0.0,3,1,1,0,-0.010465444376071293
3,2,1,False,0,0.08264721930027008,0.0,3,1,1,0,-0.015463422983884811
3,3,1,False,0,0.08223678171634674,0.00041043758392333984,3,1,1,0,-0.015326610455910366
3,4,1,False,0,0.12347047030925751,0.0,3,1,1,0,-0.02907117332021395
3,5,1,False,0,0.01625566929578781,0.1072148010134697,3,1,1,0,0.006667093684275945
3,6,0,False,0,0.02795851230621338,0.0,4,1,1,0,0.005096022039651871
3,7,1,False,0,0.2754719853401184,0.0,3,1,1,0,-0.07973834499716759
3,8,1,False,0,0.0681619942188263,0.20730999112129211,3,1,1,0,-0.01063501462340355
3,9,0,False,0,0.21836042404174805,0.0,4,1,1,0,-0.042504455894231796
3,10,1,False,0,0.011207093484699726,0.20715333055704832,3,1,1,0,0.008349952287971973
3,11,0,False,0,0.022737212479114532,0.0,4,1,1,0,0.006401346996426582
3,12,0,False,0,0.02932170033454895,0.0,4,1,1,0,0.004755225032567978
3,13,0,False,0,0.012560497038066387,0.016761203296482563,4,1,1,0,0.008945525856688619
3,14,1,False,0,0.011274603195488453,0.0012858938425779343,3,1,1,0,0.008327449051042398
4,0,1,False,0,0.065510094165802,inf,3,1,1,0,-0.012125729893644651
4,1,0,False,0,0.10150132328271866,0.0,4,1,1,0,-0.015664362659056984
4,2,1,False,0,0.012241118587553501,0.08926020469516516,3,1,1,0,0.005630595299104849
